Title,pos,neg,k=2,k=3,k=4,k=5
Anbirkku Alavillai,0.17300000000000001,0.07200000000000001,0,1,0,3
Chitty Chitty Bang Bang,0.156,0.07400000000000001,0,1,0,3
Yanks,0.052000000000000005,0.075,0,2,3,0
Kin-Dza-Dza,0.08199999999999999,0.044000000000000004,0,2,3,0
Çok Filim Hareketler Bunlar,0.205,0.069,0,1,0,3
Bhoomiyude Avakashikal,0.102,0.111,0,2,1,2
Meet Wally Sparks,0.07200000000000001,0.052000000000000005,0,2,3,0
The Redhead from Wyoming,0.027999999999999997,0.10099999999999999,1,2,1,4
"Pane, amore e...",0.249,0.052000000000000005,0,1,0,3
Harlow,0.069,0.22699999999999998,1,0,2,1
Coney Island Baby,0.11800000000000001,0.111,0,1,1,2
26 Years Diary,0.152,0.0,0,1,0,3
Abnormal Family: Older Brother's Bride,0.0,0.0,0,2,3,0
Liar Game: The Final Stage,0.17,0.040999999999999995,0,1,0,3
Track 29,0.044000000000000004,0.109,1,2,1,4
The Great Game,0.0,0.15,1,0,1,4
Bloodfist II,0.11199999999999999,0.10300000000000001,0,2,1,2
The Weapon,0.122,0.16399999999999998,1,0,1,2
Open Season 3,0.147,0.047,0,1,0,3
Sabata,0.08,0.124,1,2,1,4
Niloofar,0.043,0.09300000000000001,0,2,3,4
Satyam Shivam Sundaram,0.08199999999999999,0.08900000000000001,0,2,1,0
Tanya's Island,0.10400000000000001,0.111,0,2,1,2
A Steam Train Passes,0.033,0.016,0,2,3,0
And God Created Woman,0.094,0.096,0,2,1,2
Monster Dog,0.027000000000000003,0.11800000000000001,1,2,1,4
The Golden Spiders: A Nero Wolfe Mystery,0.062,0.08900000000000001,0,2,3,4
The Two Worlds of Jenny Logan,0.047,0.133,1,0,1,4
Resin,0.02,0.18600000000000003,1,0,2,1
Du rififi chez les femmes,0.057,0.04,0,2,3,0
Oru Vidukadhai Oru Thodarkadhai,0.183,0.066,0,1,0,3
"Jeff, Who Lives at Home",0.061,0.121,1,2,1,4
Aar-Paar,0.146,0.0,0,1,0,3
Pranchiyettan and The Saint,0.168,0.035,0,1,0,3
The Final Cut,0.027000000000000003,0.21100000000000002,1,0,2,1
Aparan,0.051,0.201,1,0,2,1
The Man in Grey,0.068,0.078,0,2,3,0
Betty Boop's May Party,0.0,0.0,0,2,3,0
Kickboxer 3,0.096,0.12,1,2,1,2
Das schreckliche Mädchen,0.08,0.10300000000000001,0,2,1,4
The Amityville Haunting,0.0,0.051,0,2,3,0
Nenè,0.028999999999999998,0.16,1,0,1,4
A Single Man,0.08,0.155,1,0,1,4
Le Paria,0.0,0.11800000000000001,1,2,1,4
Recovered: Journeys Through the Autism Spectrum and Back,0.0,0.0,0,2,3,0
Pop Class,0.248,0.11900000000000001,0,1,0,3
Return to Babylon,0.076,0.07200000000000001,0,2,3,0
Wolfman,0.046,0.12300000000000001,1,2,1,4
The Mortal Storm,0.11800000000000001,0.066,0,1,0,2
Canaries Sometimes Sing,0.188,0.13699999999999998,0,1,0,2
Al moraheqat,0.129,0.1,0,1,0,2
Ninnishtam Ennishtam 2,0.19,0.057999999999999996,0,1,0,3
Hostel 2,0.066,0.165,1,0,1,4
Superfantagenio,0.091,0.079,0,2,3,0
No Time for Sergeants,0.085,0.099,0,2,1,2
Pies and Guys,0.09300000000000001,0.032,0,2,3,0
Meri Biwi Ka Jawaab Nahin,0.122,0.151,1,0,1,2
Jekyll and Hyde... Together Again,0.133,0.14300000000000002,1,0,1,2
Charlie at the Sydney Show,0.10800000000000001,0.038,0,2,3,0
Rendezvous,0.064,0.17,1,0,1,4
Abhilasha,0.109,0.171,1,0,1,2
Tora-san's Dream-Come-True,0.142,0.083,0,1,0,2
Dharmapuri,0.048,0.051,0,2,3,0
The Devils Nightmare,0.0,0.177,1,0,2,4
Diana of the Crossways,0.0,0.231,1,0,2,1
Where's That Fire?,0.042,0.223,1,0,2,1
If Winter Comes,0.098,0.172,1,0,1,1
Las mujeres mandan,0.151,0.133,0,1,0,2
Okinawa Rendez-vous,0.054000000000000006,0.098,0,2,1,4
Istoria mias zois,0.23199999999999998,0.0,0,1,0,3
The East,0.0,0.068,0,2,3,0
Pink Suds,0.023,0.13,1,0,1,4
Wisdom of the Pretzel,0.121,0.077,0,1,0,2
Baaghi: A Rebel for Love,0.139,0.08800000000000001,0,1,0,2
Nice Guy Johnny,0.063,0.08199999999999999,0,2,3,0
Bangkok Dangerous,0.019,0.16399999999999998,1,0,2,4
"Napló apámnak, anyámnak",0.067,0.128,1,0,1,4
Charro!,0.021,0.061,0,2,3,0
Hob wa Dumoo`,0.147,0.195,1,0,2,2
Seenu,0.079,0.133,1,0,1,4
The House of Mirth,0.10400000000000001,0.125,1,0,1,2
Stranger in the House,0.08199999999999999,0.298,1,0,2,1
Boogie-Woogie Dream,0.057,0.006,0,2,3,0
The Magic Hour,0.065,0.039,0,2,3,0
Runaway Match,0.08800000000000001,0.0,0,2,3,0
The Chiltern Hundreds,0.115,0.121,0,1,1,2
The Whistle Blower,0.13699999999999998,0.14,1,1,1,2
Outland,0.057,0.136,1,0,1,4
Band Baaja Baaraat,0.16399999999999998,0.092,0,1,0,3
Charles II: The Power and The Passion,0.12300000000000001,0.064,0,1,0,2
Cinderella,0.087,0.07400000000000001,0,2,3,0
The Last Song,0.08800000000000001,0.065,0,2,3,0
Vincent,0.08199999999999999,0.182,1,0,2,1
Fatty's Plucky Pup,0.138,0.14,1,1,1,2
Work In Progress,0.065,0.061,0,2,3,0
Cash,0.11699999999999999,0.139,1,0,1,2
Die Jungfrau auf dem Dach,0.171,0.0,0,1,0,3
Futile Attraction,0.098,0.064,0,2,3,0
Zebra Lounge,0.079,0.027999999999999997,0,2,3,0
Sleeping Beauties,0.095,0.057999999999999996,0,2,3,0
Tere Ghar ke Saamne,0.136,0.066,0,1,0,2
The Hanged Man,0.11699999999999999,0.207,1,0,2,1
Petersen,0.047,0.12300000000000001,1,2,1,4
My Fair Lady,0.129,0.059000000000000004,0,1,0,2
The House of Yes,0.11,0.10800000000000001,0,2,1,2
Cozy Dens,0.063,0.10099999999999999,0,2,1,4
Gift Wrapped,0.057999999999999996,0.031,0,2,3,0
Abdullajon,0.08800000000000001,0.067,0,2,3,0
Allari Pidugu,0.142,0.066,0,1,0,3
Princesas,0.08199999999999999,0.079,0,2,3,0
Female Prisoner Scorpion: Beast Stable,0.0,0.156,1,0,1,4
Maurie,0.055,0.115,1,2,1,4
The Committee,0.015,0.08199999999999999,0,2,3,4
Brother Orchid,0.15,0.027000000000000003,0,1,0,3
Day of Wrath,0.11599999999999999,0.188,1,0,2,1
It's a Very Merry Muppet Christmas Movie,0.054000000000000006,0.07200000000000001,0,2,3,0
Father Came Too!,0.05,0.171,1,0,2,4
The Sure Thing,0.11,0.099,0,2,1,2
Four Flies on Grey Velvet,0.006,0.23399999999999999,1,0,2,1
Afterlife,0.069,0.129,1,0,1,4
Marie and Bruce,0.10300000000000001,0.0,0,2,3,0
Sexual Desires in the Ladies' Restroom: Dripping!,0.0,0.076,0,2,3,4
Salaam Bombay!,0.057,0.136,1,0,1,4
Dance of the Dead,0.05,0.153,1,0,1,4
Big Bad Mama,0.107,0.061,0,2,3,0
Las Vegas Bloodbath,0.039,0.156,1,0,1,4
Married in Canada,0.12,0.017,0,1,3,0
La Voltige,0.0,0.045,0,2,3,0
Frightmare,0.063,0.147,1,0,1,4
Old Sequoia,0.065,0.127,1,0,1,4
The Bushwhackers,0.083,0.078,0,2,3,0
Life is Cool,0.16,0.16899999999999998,1,0,1,2
Zaalim,0.025,0.17600000000000002,1,0,2,4
Meu Tio Matou Um Cara,0.115,0.091,0,1,1,2
Sukrutham,0.139,0.135,0,1,1,2
Eyes of a Stranger,0.022000000000000002,0.4,1,0,2,1
The Red Lily,0.09300000000000001,0.0,0,2,3,0
Yiddle With His Fiddle,0.0,0.043,0,2,3,0
Apne,0.21100000000000002,0.084,0,1,0,3
Jud Süß,0.128,0.039,0,1,0,3
Wasp,0.066,0.067,0,2,3,0
Durval discos,0.049,0.046,0,2,3,0
Golden Yeggs,0.081,0.091,0,2,1,2
House of Cards,0.08,0.096,0,2,1,4
Trip,0.0,0.0,0,2,3,0
Melody,0.128,0.0,0,1,0,3
Olave Mandhara,0.239,0.0,0,1,0,3
Holiday Inn,0.11900000000000001,0.07200000000000001,0,1,0,2
Puppet Master 5: The Final Chapter,0.107,0.099,0,2,1,2
A Mom for Christmas,0.243,0.042,0,1,0,3
Bawke,0.033,0.01,0,2,3,0
Baazi,0.065,0.127,1,0,1,4
Tomorrow is Forever,0.052000000000000005,0.134,1,0,1,4
No Kidding,0.098,0.077,0,2,3,2
Vallarasu,0.099,0.28,1,0,2,1
