Brudder,"[(5703, 1)]"
bulb,"[(875, 1), (3648, 1), (4086, 5), (4363, 1), (5734, 1), (7864, 1), (13178, 1), (14080, 1), (16235, 1), (18056, 3), (18312, 1), (20931, 1), (21968, 1), (27633, 1), (28991, 1), (29818, 2), (32516, 1), (34714, 1), (34745, 1), (42167, 1)]"
Casillas,"[(18145, 2)]"
smoothy,"[(24985, 1)]"
Littlenut,"[(21527, 1)]"
stagecoaches,"[(7955, 1), (13131, 1), (13138, 1), (17434, 1), (31089, 1), (37399, 1), (40570, 1)]"
bloodsoaked,"[(27589, 1)]"
Ranks,"[(37805, 1)]"
Tamaki,"[(11038, 2)]"
Kongo,"[(24725, 1), (26494, 1), (38841, 2), (39084, 2), (42053, 1)]"
germaphobic,"[(33546, 1)]"
deputed,"[(1586, 1), (23516, 1), (35084, 1), (36075, 1)]"
Quack,"[(4937, 1), (12541, 1), (32736, 1), (42150, 2)]"
GH,"[(10139, 1)]"
planted,"[(236, 1), (565, 1), (1563, 1), (1605, 1), (1704, 1), (1766, 1), (2410, 2), (2461, 1), (2548, 1), (3253, 1), (3343, 1), (3908, 1), (3975, 1), (4020, 1), (4310, 1), (4830, 1), (4915, 1), (5052, 1), (5676, 1), (5807, 1), (5860, 1), (5928, 1), (6304, 1), (6627, 2), (6789, 1), (7092, 1), (7194, 1), (7416, 1), (7569, 2), (7725, 1), (7738, 1), (7927, 1), (7971, 1), (7997, 1), (8200, 2), (8250, 2), (8710, 1), (8965, 1), (8971, 1), (9174, 1), (9319, 1), (9426, 1), (9767, 1), (9925, 1), (9957, 1), (10198, 1), (10408, 1), (10422, 1), (10560, 1), (10673, 1), (10732, 1), (10936, 1), (11064, 1), (11345, 1), (11448, 1), (11587, 1), (11637, 1), (11814, 1), (11892, 1), (12005, 1), (12063, 1), (12235, 1), (12284, 1), (12537, 2), (12577, 1), (12649, 1), (12736, 1), (12924, 1), (12997, 1), (13046, 1), (13273, 1), (13487, 1), (13532, 1), (13630, 1), (14276, 1), (14353, 1), (14500, 1), (14567, 2), (14646, 1), (14678, 1), (14800, 1), (15477, 1), (15651, 1), (15738, 1), (15743, 1), (16483, 1), (16709, 1), (16834, 1), (16903, 2), (17084, 1), (17511, 1), (17884, 1), (17986, 1), (18127, 1), (18241, 1), (18505, 1), (18827, 1), (18845, 1), (18862, 1), (19410, 1), (19601, 1), (19807, 1), (19887, 1), (20139, 1), (20228, 1), (20278, 1), (20595, 2), (20789, 1), (20928, 1), (21522, 1), (21672, 1), (21777, 1), (22001, 2), (22012, 1), (22212, 1), (22446, 1), (22612, 1), (22659, 1), (22952, 1), (23188, 1), (23354, 1), (23596, 1), (23691, 1), (23700, 1), (23815, 1), (24091, 1), (24152, 1), (24238, 1), (24415, 1), (24911, 1), (24986, 1), (25023, 1), (25631, 1), (25681, 1), (25687, 1), (25781, 1), (25797, 1), (25819, 1), (25866, 1), (25872, 1), (25945, 2), (26202, 1), (26432, 1), (26482, 1), (26749, 1), (26832, 1), (26969, 1), (27122, 1), (27160, 1), (27199, 2), (27384, 1), (27500, 1), (27503, 1), (27750, 1), (27792, 1), (28244, 1), (28288, 2), (28291, 1), (28391, 1), (28420, 1), (28546, 1), (28613, 1), (28618, 1), (28688, 1), (28698, 1), (29419, 1), (29585, 1), (29609, 1), (29809, 2), (29811, 1), (29870, 1), (30019, 1), (30113, 1), (30142, 1), (30385, 2), (30577, 1), (30958, 1), (31082, 1), (31123, 1), (31495, 1), (31760, 1), (32164, 1), (32456, 1), (32646, 1), (32672, 2), (32855, 1), (32865, 1), (33251, 1), (33386, 2), (33463, 1), (33733, 2), (34089, 1), (34160, 1), (34189, 1), (34193, 1), (34279, 1), (34330, 1), (34370, 1), (34473, 1), (34678, 1), (35339, 1), (35522, 1), (35707, 1), (35739, 1), (35956, 1), (36016, 1), (36064, 1), (36465, 1), (36729, 1), (36948, 1), (36956, 1), (38237, 1), (38269, 1), (38603, 1), (38604, 3), (38663, 1), (38665, 1), (38724, 1), (39030, 1), (39063, 1), (39147, 1), (39204, 1), (39217, 1), (39494, 1), (39596, 1), (39710, 2), (40048, 1), (40480, 1), (40702, 1), (40863, 1), (41104, 1), (41685, 1), (41908, 1), (42195, 2)]"
thumb,"[(228, 1), (678, 1), (1220, 1), (1571, 1), (2537, 1), (3325, 1), (4016, 1), (4141, 1), (4805, 1), (5347, 1), (7450, 1), (10081, 2), (10757, 1), (11454, 1), (11686, 1), (11697, 1), (12020, 1), (12228, 1), (12399, 1), (13058, 1), (13592, 1), (13727, 1), (14175, 1), (14627, 1), (14675, 1), (14788, 1), (14793, 1), (14892, 1), (15111, 1), (15325, 1), (15411, 1), (15594, 1), (15997, 3), (16388, 1), (16494, 1), (16639, 1), (17128, 1), (18661, 1), (19546, 1), (20341, 1), (20356, 1), (21170, 1), (21708, 7), (21933, 1), (22210, 1), (22898, 1), (23438, 1), (23905, 1), (24547, 2), (25344, 1), (25525, 1), (25997, 1), (26121, 1), (26586, 1), (26864, 1), (26936, 1), (26997, 1), (27516, 1), (27816, 1), (28601, 1), (29687, 1), (30032, 1), (30148, 1), (31045, 1), (32929, 3), (33796, 1), (33971, 1), (35763, 1), (36869, 1), (37117, 1), (37249, 1), (38471, 1), (38662, 1), (39581, 1), (39822, 2), (40291, 1), (40772, 4), (41607, 1), (42027, 1)]"
chargesheet,"[(24217, 1)]"
cumbersome,"[(156, 1), (396, 1), (7424, 1), (16190, 1), (25950, 1), (30567, 1)]"
camporee,"[(7503, 1)]"
Santangelo,"[(9014, 1)]"
gharon,"[(4020, 1)]"
aright,"[(1400, 1)]"
Moines,"[(9891, 1), (20184, 1), (21704, 1), (31034, 1), (32854, 1), (37038, 1), (37654, 1), (41108, 1), (42124, 1)]"
haltingly,"[(10314, 1), (15005, 1)]"
Sontee,"[(710, 5)]"
NewsId,"[(13663, 1)]"
stunt,"[(226, 1), (1143, 1), (1318, 1), (1666, 1), (2442, 2), (3146, 1), (4085, 1), (4221, 2), (4752, 1), (4855, 1), (5366, 1), (5914, 1), (5996, 1), (6297, 2), (6664, 1), (6812, 1), (7113, 1), (7385, 1), (7464, 1), (7517, 3), (7873, 1), (7988, 1), (8005, 8), (8078, 1), (8299, 1), (8378, 1), (8526, 1), (8536, 1), (8930, 1), (9305, 1), (9359, 1), (9374, 1), (9500, 1), (9635, 1), (9885, 1), (10203, 2), (11068, 3), (11678, 1), (11706, 1), (11821, 1), (11968, 1), (12185, 1), (12260, 1), (12478, 2), (12551, 1), (12557, 1), (12757, 3), (13046, 1), (13204, 1), (13278, 1), (13376, 1), (13955, 1), (14546, 1), (14777, 1), (14977, 2), (15363, 1), (15592, 1), (15639, 1), (16480, 1), (16586, 1), (17255, 5), (17666, 1), (17694, 2), (18173, 1), (18264, 1), (18381, 1), (18396, 1), (18661, 1), (19219, 1), (19600, 1), (19957, 2), (19961, 1), (19973, 2), (20099, 1), (20219, 2), (20347, 1), (20509, 1), (20566, 2), (21344, 1), (21668, 3), (21816, 1), (22055, 1), (22227, 3), (22458, 1), (22640, 1), (23294, 1), (23499, 6), (23992, 1), (24053, 1), (24902, 2), (25717, 1), (25755, 1), (25903, 1), (26087, 1), (26124, 1), (26467, 1), (26554, 1), (26978, 1), (26988, 1), (27577, 1), (27622, 1), (27842, 1), (27977, 1), (28732, 1), (29557, 1), (29778, 1), (29874, 1), (30029, 3), (30283, 1), (30650, 1), (30750, 1), (30916, 1), (31036, 1), (31059, 1), (31090, 1), (32564, 1), (32899, 1), (32927, 3), (33245, 2), (33328, 1), (33614, 1), (33890, 1), (33968, 1), (34404, 1), (34414, 1), (34476, 2), (34524, 1), (34636, 1), (34707, 1), (34738, 1), (34850, 1), (34886, 1), (35252, 1), (35916, 1), (36088, 1), (36297, 1), (36639, 1), (36702, 3), (36910, 3), (37095, 1), (37479, 1), (37480, 1), (37503, 1), (37554, 1), (37577, 1), (37610, 1), (38133, 1), (38269, 1), (39077, 2), (39156, 1), (39305, 1), (39620, 1), (39626, 1), (39685, 1), (39838, 1), (39914, 1), (40202, 1), (40275, 1), (40322, 1), (40701, 1), (40724, 2), (40852, 1), (40877, 1), (41213, 1), (41404, 2), (41554, 1), (41864, 2), (42175, 2)]"
Lingyu,"[(26141, 1), (29759, 1)]"
Pralay,"[(4154, 6), (10618, 1)]"
steadfast,"[(1832, 1), (3325, 1), (5439, 1), (5788, 1), (5836, 1), (7513, 1), (8520, 1), (8821, 1), (9964, 1), (10989, 1), (11058, 1), (14780, 1), (17707, 1), (18885, 1), (19981, 1), (25995, 1), (26282, 1), (28205, 1), (28462, 1), (31370, 1), (31497, 1), (31928, 1), (33299, 1), (33587, 1), (35213, 1), (35507, 1), (35941, 1), (36328, 1), (36590, 1), (36767, 1), (36791, 1), (38255, 1), (38872, 1), (39822, 1), (41381, 1)]"
reburying,"[(18941, 1)]"
rooftop,"[(8, 1), (122, 2), (827, 1), (846, 1), (1440, 2), (1493, 1), (1872, 1), (2374, 2), (2410, 1), (2879, 3), (2995, 1), (3248, 1), (3323, 1), (3920, 1), (4264, 1), (4828, 1), (4836, 2), (5007, 1), (5391, 1), (5609, 1), (6465, 2), (6627, 1), (6844, 2), (7171, 1), (7569, 1), (7864, 1), (7941, 1), (8014, 1), (8223, 1), (8460, 2), (8658, 1), (9043, 1), (9422, 1), (9561, 1), (10230, 1), (10355, 1), (10673, 1), (10955, 1), (11120, 1), (11256, 1), (11572, 1), (11678, 2), (11692, 1), (11972, 1), (12058, 1), (12278, 2), (12572, 1), (12671, 2), (12855, 2), (12856, 2), (13217, 1), (13222, 4), (13310, 1), (13661, 1), (13900, 1), (14363, 1), (14747, 1), (14777, 1), (15039, 1), (15379, 1), (15529, 1), (15745, 1), (15779, 2), (15957, 1), (16141, 1), (16232, 1), (16559, 1), (16984, 1), (17083, 1), (17362, 1), (17608, 1), (17664, 1), (18127, 3), (18651, 1), (18773, 1), (18827, 1), (18862, 1), (19206, 1), (19289, 1), (19347, 1), (19498, 1), (19905, 2), (19956, 1), (20081, 1), (20286, 1), (20325, 1), (20476, 1), (20539, 1), (20926, 1), (21062, 1), (21263, 1), (21344, 2), (21416, 1), (21701, 1), (21999, 3), (22358, 1), (22378, 1), (22391, 1), (22397, 1), (22418, 1), (22520, 1), (22694, 1), (22939, 1), (23761, 1), (24099, 2), (24193, 1), (24269, 1), (24432, 1), (24964, 1), (25311, 1), (25415, 1), (25597, 3), (25812, 1), (25869, 2), (26179, 1), (26514, 1), (26692, 1), (26840, 1), (26917, 1), (27199, 2), (27697, 1), (27755, 1), (27773, 1), (27791, 1), (27830, 1), (27841, 1), (28095, 2), (28121, 1), (28173, 1), (28515, 1), (28851, 1), (29214, 1), (30142, 1), (30304, 1), (31273, 1), (31429, 1), (31517, 1), (31527, 1), (31534, 1), (31789, 1), (32681, 1), (32763, 1), (32793, 1), (33350, 1), (33386, 1), (33702, 2), (33733, 1), (33928, 1), (34243, 1), (34259, 1), (34909, 1), (35154, 1), (35375, 1), (35386, 1), (35602, 1), (35808, 1), (36536, 1), (36554, 1), (36719, 1), (36786, 1), (37075, 1), (37165, 1), (37280, 1), (37787, 1), (38005, 1), (38485, 1), (38634, 1), (38827, 1), (39165, 1), (39308, 1), (39767, 1), (39958, 1), (40212, 1), (40382, 1), (40548, 1), (41095, 1), (41213, 1), (41220, 1), (41499, 1), (41501, 1), (41784, 1), (41867, 1)]"
